p,mean_lambda_2,std_lambda_2,mean_trace,mean_lambda_max,mean_lambda_cond,mean_critical_sigma,std_critical_sigma
0,3.252202597,0.124719015,300,9.825767353,3.025592831,0.223564941,0.021412889
0.01,3.274762883,0.159883881,300,9.669133103,2.960857364,0.220474609,0.019181439
0.02,3.375067423,0.140247251,300,9.472965936,2.813593861,0.220806641,0.018217924
0.03,3.399910248,0.14681485,300,9.419953673,2.776298681,0.214671875,0.016260532
0.04,3.443418908,0.169138983,300,9.345056131,2.723321554,0.208175781,0.018451409
0.05,3.410708776,0.152353702,300,9.386222671,2.758837306,0.211208984,0.019251986
0.06,3.516443082,0.192798623,300,9.256695196,2.64329633,0.210109375,0.018739695
0.07,3.504396973,0.170525076,300,9.257656667,2.649948403,0.204130859,0.01753274
0.08,3.619437176,0.176032852,300,9.093717853,2.521045286,0.203337891,0.01969618
0.09,3.626123997,0.196173528,300,9.021568896,2.497221731,0.200833984,0.015937664
0.1,3.631646641,0.158698122,300,8.9498464,2.471093729,0.197275391,0.014732503
0.11,3.748875126,0.219168278,300,8.810221527,2.362178436,0.197646484,0.015933272
0.12,3.778625096,0.18343964,300,8.811390465,2.339730448,0.195019531,0.011124243
0.13,3.765217471,0.20453718,300,8.78462014,2.342697249,0.200332031,0.01377993
0.14,3.800987108,0.185357883,300,8.662234744,2.286412678,0.194824219,0.012838733
0.15,3.833678543,0.191032262,300,8.580596126,2.247087714,0.193535156,0.013777411
0.16,3.95290078,0.212447904,300,8.469366933,2.151634937,0.188896484,0.010349955
0.17,4.003788731,0.189268146,300,8.377785799,2.099150988,0.186894531,0.010777888
0.18,3.99502203,0.21316946,300,8.349743177,2.098436602,0.187294922,0.011758798
0.19,4.013612917,0.191914711,300,8.351125165,2.086460769,0.185361328,0.008969178
0.2,4.006227914,0.204395069,300,8.330534109,2.08663953,0.186669922,0.010260298
0.21,4.047001055,0.228865884,300,8.305275684,2.061755466,0.185664063,0.011968195
0.22,4.134073628,0.210005545,300,8.120531669,1.97222416,0.182705078,0.0100145
0.23,4.102734258,0.21841579,300,8.194840532,2.005816614,0.183955078,0.011532252
0.24,4.124179941,0.203293056,300,8.213058165,1.998264833,0.184765625,0.010223168
0.25,4.150491121,0.212096218,300,8.126016013,1.964628887,0.185,0.011719417
0.26,4.209774164,0.209618902,300,8.11977625,1.935918472,0.182998047,0.01151093
0.27,4.266865585,0.213089863,300,7.96383112,1.87422292,0.180185547,0.009983407
0.28,4.325243047,0.263678009,300,7.922623235,1.84240852,0.177998047,0.008837599
0.29,4.335897005,0.245741669,300,7.85242649,1.820677932,0.18015625,0.010250632
0.3,4.352113147,0.206931345,300,7.876095966,1.816757337,0.179882813,0.010347416
0.31,4.413157038,0.285757122,300,7.781530538,1.774752794,0.178818359,0.009211728
0.32,4.489780244,0.243145186,300,7.650046049,1.712119151,0.175830078,0.007867694
0.33,4.473378594,0.247908959,300,7.597234353,1.707414986,0.176572266,0.008362814
0.34,4.537619329,0.272326557,300,7.560079165,1.675608286,0.17421875,0.006989759
0.35,4.534161623,0.269982882,300,7.625122018,1.6918277,0.176591797,0.009370986
0.36,4.522812913,0.309331054,300,7.545657478,1.681223709,0.176132813,0.008553729
0.37,4.564539827,0.281861607,300,7.569415061,1.667789322,0.173300781,0.006199318
0.38,4.685676523,0.24693755,300,7.398979666,1.586198598,0.172646484,0.005613825
0.39,4.699551418,0.240775266,300,7.365239524,1.573945019,0.172236328,0.006412165
0.4,4.751054922,0.252547259,300,7.34443865,1.552638653,0.172158203,0.006122502
0.41,4.793178023,0.242002021,300,7.249568763,1.51900996,0.171875,0.006558982
0.42,4.8536904,0.330509729,300,7.184872745,1.491247491,0.171054688,0.006732221
0.43,4.808283857,0.231731552,300,7.251213919,1.514211772,0.172128906,0.007684647
0.44,4.826746116,0.272663445,300,7.253286471,1.511154944,0.171474609,0.006781444
0.45,4.803495545,0.23957983,300,7.268768305,1.519990713,0.170849609,0.005763167
0.46,4.78526097,0.289401053,300,7.231627952,1.520408692,0.170566406,0.004652211
0.47,4.952407408,0.354105672,300,7.077186794,1.440982237,0.169833984,0.004912206
0.48,4.949984665,0.302932073,300,7.062762121,1.435483774,0.170976563,0.00712714
0.49,4.885131851,0.226647426,300,7.159330664,1.471045441,0.169619141,0.004483039
0.5,4.895520375,0.197981773,300,7.129772791,1.460786432,0.170927734,0.006235418
0.51,4.963738598,0.338056226,300,7.053150324,1.431324847,0.169472656,0.004859161
0.52,4.944044642,0.25945898,300,7.065955358,1.435571486,0.1684375,0.002290159
0.53,5.064436508,0.353158538,300,6.935563492,1.379845938,0.16875,0.004181011
0.54,5.070682575,0.350070655,300,6.939317425,1.378727469,0.168457031,0.002613103
0.55,5.038644371,0.313298634,300,6.971355629,1.391944624,0.169589844,0.00530179
0.56,5.104436508,0.397449408,300,6.895563492,1.363845938,0.168740234,0.003948248
0.57,5.206669596,0.46343177,300,6.793330404,1.321906933,0.167890625,0.00266077
0.58,5.300811731,0.505250334,300,6.709188269,1.28573912,0.168408203,0.004262055
0.59,5.301715729,0.471592066,300,6.698284271,1.280335625,0.167763672,0.002721422
0.6,5.258537356,0.458511884,300,6.741462644,1.298284361,0.167421875,0.00120256
0.61,5.339289322,0.503449501,300,6.660710678,1.266839063,0.168310547,0.004178444
0.62,5.467573593,0.516257805,300,6.532426407,1.214503438,0.167734375,0.003501
0.63,5.423431458,0.517270447,300,6.586568542,1.23467125,0.167490234,0.002027373
0.64,5.497573593,0.517269471,300,6.502426407,1.202503438,0.167519531,0.00338832
0.65,5.461715729,0.51014708,300,6.538284271,1.216335625,0.168349609,0.004276619
0.66,5.525857864,0.505162583,300,6.474142136,1.190167813,0.166933594,0.000919422
0.67,5.531715729,0.510597534,300,6.468284271,1.188335625,0.1671875,0.002060061
0.68,5.61,0.487749936,300,6.39,1.156,0.166992188,0.001490658
0.69,5.6,0.489897949,300,6.4,1.16,0.167060547,0.002127271
0.7,5.64,0.48,300,6.36,1.144,0.166953125,0.001424711
0.71,5.63,0.482804308,300,6.37,1.148,0.167021484,0.00227962
0.72,5.74,0.438634244,300,6.26,1.104,0.16671875,0.000469969
0.73,5.79,0.407308237,300,6.21,1.084,0.166865234,0.001452782
0.74,5.85,0.357071421,300,6.15,1.06,0.166591797,0.000311736
0.75,5.84,0.366606056,300,6.16,1.064,0.166650391,0.000399675
0.76,5.88,0.324961536,300,6.12,1.048,0.166621094,0.000420716
0.77,5.89,0.312889757,300,6.11,1.044,0.166582031,0.000264935
0.78,5.91,0.28618176,300,6.09,1.036,0.166611328,0.000476318
0.79,5.91,0.28618176,300,6.09,1.036,0.1665625,0.000231921
0.8,5.95,0.217944947,300,6.05,1.02,0.166621094,0.000979293
0.81,5.975857864,0.171514306,300,6.024142136,1.010167813,0.166552734,0.000485834
0.82,6,0,300,6,1,0.166503906,0
0.83,5.98,0.14,300,6.02,1.008,0.166699219,0.001847743
0.84,5.98,0.14,300,6.02,1.008,0.166523438,0.000194333
0.85,5.95,0.217944947,300,6.05,1.02,0.166552734,0.000253718
0.86,5.96,0.195959179,300,6.04,1.016,0.166689453,0.001846168
0.87,6,0,300,6,1,0.166503906,0
0.88,5.98,0.14,300,6.02,1.008,0.166601563,0.000799351
0.89,5.99,0.099498744,300,6.01,1.004,0.166503906,0
0.9,5.99,0.099498744,300,6.01,1.004,0.166513672,9.72E-05
0.91,5.99,0.099498744,300,6.01,1.004,0.166513672,9.72E-05
0.92,6,0,300,6,1,0.166503906,0
0.93,5.98,0.14,300,6.02,1.008,0.166523438,0.000136719
0.94,5.98,0.14,300,6.02,1.008,0.1665625,0.000432784
0.95,6,0,300,6,1,0.166503906,0
0.96,6,0,300,6,1,0.166503906,0
0.97,6,0,300,6,1,0.166503906,0
0.98,6,0,300,6,1,0.166503906,0
0.99,6,0,300,6,1,0.166503906,0
1,6,0,300,6,1,0.166503906,0
