num_points,num_edges,num_triangles,avg_degree,max_degree,density,giant_fraction,fiedler_value,avg_triangles_per_edge,variance_triangles_per_edge,avg_triangles_per_node,variance_triangles_per_node,betti_0,betti_1,betti_2,total_persistence,avg_edge_length,local_density,r_est,L2_spectral_gap,L2_max_eigenvalue,L2_trace,L2_cond,r_value,critical_sigma
100,208,134,4.16,8,0.042020202,1,0.005498966,1.932692308,1.341623521,4.02,10.2196,1,7,,7.099136212,0.088506873,5.14,0.129673084,0.167674418,10.73664821,402,64.03271499,0.13,0.520068359
100,215,144,4.3,8,0.043434343,1,0.010454805,2.009302326,1.506890211,4.32,11.7976,1,9,,7.099136212,0.089872999,5.28,0.130528654,0.167710898,12.18274145,432,72.64132275,0.131,0.534716797
100,219,151,4.38,9,0.044242424,1,0.010551642,2.068493151,1.534121474,4.53,12.5291,1,9,,7.099136212,0.090635332,5.36,0.131905216,0.167710898,12.18274145,453,72.64132275,0.132,0.616162109
100,223,157,4.46,9,0.045050505,1,0.010582507,2.112107623,1.507611253,4.71,13.1259,1,8,,7.113667794,0.091386201,5.44,0.132611541,0.145302995,12.27339476,471,84.46759656,0.133,0.574853516
100,226,162,4.52,9,0.045656566,1,0.010639231,2.150442478,1.455243167,4.86,13.2804,1,7,,7.144747246,0.091946108,5.5,0.133776496,0.145302995,12.27339476,486,84.46759656,0.134,0.597998047
100,229,165,4.58,9,0.046262626,1,0.010662876,2.161572052,1.462977441,4.95,13.4875,1,8,,7.144747246,0.092501583,5.56,0.134518689,0.145302995,12.27339476,495,84.46759656,0.135,0.616162109
100,234,172,4.68,9,0.047272727,1,0.010786771,2.205128205,1.462195924,5.16,14.0944,1,8,,7.144747246,0.093419633,5.66,0.135736287,0.10856889,12.27339476,516,113.0470691,0.136,0.610595703
100,237,177,4.74,9,0.047878788,1,0.01086818,2.240506329,1.499118731,5.31,14.9139,1,8,,7.144747246,0.093966331,5.72,0.136734415,0.099763117,12.51152399,531,125.4123204,0.137,0.613818359
100,237,177,4.74,9,0.047878788,1,0.01086818,2.240506329,1.499118731,5.31,14.9139,1,8,,7.144747246,0.093966331,5.72,0.136734415,0.099763117,12.51152399,531,125.4123204,0.138,0.613818359
100,242,184,4.84,9,0.048888889,1,0.021223709,2.280991736,1.507820504,5.52,15.0896,1,9,,7.144747246,0.094883893,5.82,0.138730369,0.089480397,12.51152399,552,139.8241897,0.139,0.626708984
100,245,190,4.9,9,0.049494949,1,0.021308361,2.326530612,1.591336943,5.7,16.83,1,9,,7.144747246,0.095428759,5.88,0.139661329,0.084474438,12.51152399,570,148.1101773,0.14,0.651367188
100,247,194,4.94,9,0.04989899,1,0.021435463,2.356275304,1.52488977,5.82,16.7676,1,7,,7.204885504,0.095797062,5.92,0.140932807,0.083851344,12.51152399,582,149.2107748,0.141,0.660351563
100,250,199,5,9,0.050505051,1,0.022323164,2.388,1.509456,5.97,17.0291,1,7,,7.204885504,0.096345488,5.98,0.141736066,0.048843682,12.51152399,597,256.1543993,0.142,0.668554688
100,253,207,5.06,9,0.051111111,1,0.022501337,2.454545455,1.560186849,6.21,18.5459,1,6,,7.224303201,0.096892349,6.04,0.142939106,0.042943935,12.51152427,621,291.3455508,0.143,0.684179687
100,259,219,5.18,9,0.052323232,1,0.022995429,2.536679537,1.67722604,6.57,21.3051,1,6,,7.237672916,0.097973171,6.16,0.143869548,0.04216029,12.63093772,657,299.5932326,0.144,0.673632813
100,263,227,5.26,10,0.053131313,1,0.029962482,2.589353612,1.76292848,6.81,22.9939,1,7,,7.237672916,0.098677448,6.24,0.144629019,0.022603549,12.63105119,681,558.8083283,0.145,0.650195313
100,266,232,5.32,10,0.053737374,1,0.034537546,2.616541353,1.815365481,6.96,23.9784,1,7,,7.237672916,0.09920305,6.3,0.145690273,0.051903106,12.79691156,696,246.5538697,0.146,0.623193359
100,269,240,5.38,10,0.054343434,1,0.034659292,2.676579926,1.876812095,7.2,25.7,1,7,,7.237672916,0.099729626,6.36,0.146703995,0.036064026,13.30113622,720,368.8200589,0.147,0.621728516
100,277,251,5.54,10,0.055959596,1,0.044438578,2.718411552,1.855725997,7.53,25.6091,1,8,,7.250948352,0.101114916,6.52,0.147953168,0.036064026,13.30113622,753,368.8200589,0.148,0.647802734
100,283,264,5.66,11,0.057171717,1,0.050568798,2.798586572,1.807489168,7.92,26.9736,1,6,,7.296847089,0.102119196,6.64,0.148696073,0.039151326,13.33941408,792,340.7142346,0.149,0.676757813
100,286,269,5.72,11,0.057777778,1,0.052828507,2.821678322,1.747921659,8.07,25.9451,1,6,,7.296847089,0.102613969,6.7,0.149339089,0.037978542,13.33941408,807,351.2355464,0.15,0.686914063
